Cidade,Data de Referência,Precipitação (mm)
Alegrete,2007-01-01,86.4
Alegrete,2007-02-01,208.6
Alegrete,2007-03-01,196.2
Alegrete,2007-04-01,112.8
Alegrete,2007-05-01,46.2
Alegrete,2007-06-01,99.4
Alegrete,2007-07-01,50.2
Alegrete,2007-08-01,99.6
Alegrete,2007-09-01,159.4
Alegrete,2007-10-01,162.4
Alegrete,2007-11-01,88.0
Alegrete,2007-12-01,44.0
Alegrete,2008-01-01,162.79999999999998
Alegrete,2008-02-01,147.0
Alegrete,2008-03-01,87.4
Alegrete,2008-04-01,86.2
Alegrete,2008-05-01,137.79999999999998
Alegrete,2008-06-01,138.2
Alegrete,2008-07-01,181.8
Alegrete,2008-08-01,109.2
Alegrete,2008-09-01,93.2
Alegrete,2008-10-01,280.4
Alegrete,2008-11-01,28.2
Alegrete,2008-12-01,39.6
Alegrete,2009-01-01,29.599999999999998
Alegrete,2009-02-01,106.0
Alegrete,2009-03-01,143.2
Alegrete,2009-04-01,23.2
Alegrete,2009-05-01,84.8
Alegrete,2009-06-01,37.8
Alegrete,2009-07-01,61.2
Alegrete,2009-08-01,86.4
Alegrete,2009-09-01,205.4
Alegrete,2009-10-01,120.2
Alegrete,2009-11-01,382.0
Alegrete,2009-12-01,61.599999999999994
Alegrete,2010-01-01,395.6
Alegrete,2010-02-01,149.2
Alegrete,2010-03-01,38.0
Alegrete,2010-04-01,6.799999999999999
Alegrete,2010-05-01,100.2
Alegrete,2010-06-01,50.800000000000004
Alegrete,2010-07-01,247.2
Alegrete,2010-08-01,19.0
Alegrete,2010-09-01,320.0
Alegrete,2010-10-01,56.6
Alegrete,2010-11-01,23.6
Alegrete,2010-12-01,95.8
Alegrete,2011-01-01,90.60000000000001
Alegrete,2011-02-01,234.8
Alegrete,2011-03-01,141.2
Alegrete,2011-04-01,139.2
Alegrete,2011-05-01,63.8
Alegrete,2011-06-01,90.2
Alegrete,2011-07-01,112.60000000000001
Alegrete,2011-08-01,136.0
Alegrete,2011-09-01,78.0
Alegrete,2011-10-01,177.2
Alegrete,2011-11-01,76.0
Alegrete,2011-12-01,117.0
Alegrete,2012-01-01,6.2
Alegrete,2012-02-01,83.60000000000001
Alegrete,2012-03-01,26.4
Alegrete,2012-04-01,120.0
Alegrete,2012-05-01,42.4
Alegrete,2012-06-01,60.2
Alegrete,2012-07-01,86.0
Alegrete,2012-08-01,60.2
Alegrete,2012-09-01,85.6
Alegrete,2012-10-01,124.6
Alegrete,2012-11-01,42.4
Alegrete,2012-12-01,373.4
Alegrete,2013-01-01,124.0
Alegrete,2013-02-01,213.8
Alegrete,2013-03-01,184.6
Alegrete,2013-04-01,133.8
Alegrete,2013-05-01,194.6
Alegrete,2013-06-01,42.0
Alegrete,2013-07-01,147.4
Alegrete,2013-08-01,42.2
Alegrete,2013-09-01,33.4
Alegrete,2013-10-01,100.2
Alegrete,2013-11-01,202.79999999999998
Alegrete,2013-12-01,12.200000000000001
Alegrete,2014-01-01,214.0
Alegrete,2014-02-01,136.8
Alegrete,2014-03-01,233.8
Alegrete,2014-04-01,44.2
Alegrete,2014-05-01,229.4
Alegrete,2014-06-01,114.8
Alegrete,2014-07-01,115.8
Alegrete,2014-08-01,20.8
Alegrete,2014-09-01,0.0
Alegrete,2014-10-01,132.4
Alegrete,2014-11-01,138.4
Alegrete,2014-12-01,179.4
Alegrete,2015-01-01,0.0
Alegrete,2015-02-01,101.2
Alegrete,2015-03-01,74.4
Alegrete,2015-04-01,46.2
Alegrete,2015-05-01,142.0
Alegrete,2015-06-01,106.4
Alegrete,2015-07-01,169.6
Alegrete,2015-08-01,82.0
Alegrete,2015-09-01,85.2
Alegrete,2015-10-01,386.4
Alegrete,2015-11-01,165.6
Alegrete,2015-12-01,422.2
Alegrete,2016-01-01,108.8
Alegrete,2016-02-01,158.6
Alegrete,2016-03-01,135.0
Alegrete,2016-04-01,235.0
Alegrete,2016-05-01,101.8
Alegrete,2016-06-01,77.6
Alegrete,2016-07-01,86.6
Alegrete,2016-08-01,99.6
Alegrete,2016-09-01,29.6
Alegrete,2016-10-01,287.8
Alegrete,2016-11-01,226.0
Alegrete,2016-12-01,191.4
Alegrete,2017-01-01,8.8
Alegrete,2017-02-01,0.0
Alegrete,2017-03-01,0.0
Alegrete,2017-04-01,213.8
Alegrete,2017-05-01,276.6
Alegrete,2017-06-01,82.0
Alegrete,2017-07-01,0.0
Alegrete,2017-08-01,168.2
Alegrete,2017-09-01,107.0
Alegrete,2017-10-01,163.6
Alegrete,2017-11-01,95.2
Alegrete,2017-12-01,117.2
Alegrete,2018-01-01,140.0
Alegrete,2018-02-01,109.2
Alegrete,2018-03-01,197.6
Alegrete,2018-04-01,89.60000000000001
Alegrete,2018-05-01,148.0
Alegrete,2018-06-01,146.4
Alegrete,2018-07-01,50.8
Alegrete,2018-08-01,201.4
Alegrete,2018-09-01,202.2
Alegrete,2018-10-01,200.4
Alegrete,2018-11-01,179.2
Alegrete,2018-12-01,150.4
Alegrete,2019-01-01,523.2
Alegrete,2019-02-01,47.2
Alegrete,2019-03-01,124.0
Alegrete,2019-04-01,61.4
Alegrete,2019-05-01,188.2
Alegrete,2019-06-01,11.8
Alegrete,2019-07-01,152.0
Alegrete,2019-08-01,45.6
Alegrete,2019-09-01,62.199999999999996
Alegrete,2019-10-01,238.0
Alegrete,2019-11-01,157.6
Alegrete,2019-12-01,39.4
Alegrete,2020-01-01,77.6
Alegrete,2020-02-01,83.2
Alegrete,2020-03-01,33.8
Alegrete,2020-04-01,26.6
Alegrete,2020-05-01,187.4
Alegrete,2020-06-01,167.4
Alegrete,2020-07-01,43.4
Alegrete,2020-08-01,34.0
Alegrete,2020-09-01,172.4
Alegrete,2020-10-01,89.8
Alegrete,2020-11-01,112.2
Alegrete,2020-12-01,128.4
Alegrete,2021-01-01,117.2
Alegrete,2021-02-01,84.8
Alegrete,2021-03-01,79.2
Alegrete,2021-04-01,67.2
Alegrete,2021-05-01,203.0
Alegrete,2021-06-01,192.0
Alegrete,2021-07-01,21.2
Alegrete,2021-08-01,26.2
Alegrete,2021-09-01,284.8
Alegrete,2021-10-01,83.39999999999999
Alegrete,2021-11-01,63.2
Alegrete,2021-12-01,71.6
Alegrete,2022-01-01,40.0
Alegrete,2022-02-01,118.0
Alegrete,2022-03-01,174.4
Alegrete,2022-04-01,202.4
Alegrete,2022-05-01,71.8
Alegrete,2022-06-01,49.400000000000006
Alegrete,2022-07-01,0.0
Alegrete,2022-08-01,37.2
Alegrete,2022-09-01,51.199999999999996
Alegrete,2022-10-01,73.0
Alegrete,2022-11-01,77.0
Alegrete,2022-12-01,74.0
Bagé,2007-01-01,52.4
Bagé,2007-02-01,117.8
Bagé,2007-03-01,91.6
Bagé,2007-04-01,62.8
Bagé,2007-05-01,27.4
Bagé,2007-06-01,195.4
Bagé,2007-07-01,74.4
Bagé,2007-08-01,184.0
Bagé,2007-09-01,66.0
Bagé,2007-10-01,161.6
Bagé,2007-11-01,37.8
Bagé,2007-12-01,85.0
Bagé,2008-01-01,75.60000000000001
Bagé,2008-02-01,126.2
Bagé,2008-03-01,56.2
Bagé,2008-04-01,78.0
Bagé,2008-05-01,93.0
Bagé,2008-06-01,181.0
Bagé,2008-07-01,104.0
Bagé,2008-08-01,138.0
Bagé,2008-09-01,82.0
Bagé,2008-10-01,86.8
Bagé,2008-11-01,59.2
Bagé,2008-12-01,85.6
Bagé,2009-01-01,124.2
Bagé,2009-02-01,142.0
Bagé,2009-03-01,56.6
Bagé,2009-04-01,3.2
Bagé,2009-05-01,136.0
Bagé,2009-06-01,42.0
Bagé,2009-07-01,53.6
Bagé,2009-08-01,207.2
Bagé,2009-09-01,221.8
Bagé,2009-10-01,107.4
Bagé,2009-11-01,473.4
Bagé,2009-12-01,120.2
Bagé,2010-01-01,138.4
Bagé,2010-02-01,181.20000000000002
Bagé,2010-03-01,80.60000000000001
Bagé,2010-04-01,85.8
Bagé,2010-05-01,73.2
Bagé,2010-06-01,92.0
Bagé,2010-07-01,259.8
Bagé,2010-08-01,39.4
Bagé,2010-09-01,115.60000000000001
Bagé,2010-10-01,0.2
Bagé,2010-11-01,4.6
Bagé,2010-12-01,57.4
Bagé,2011-01-01,93.6
Bagé,2011-02-01,68.4
Bagé,2011-03-01,135.0
Bagé,2011-04-01,86.2
Bagé,2011-05-01,38.2
Bagé,2011-06-01,111.0
Bagé,2011-07-01,75.0
Bagé,2011-08-01,66.6
Bagé,2011-09-01,63.6
Bagé,2011-10-01,87.4
Bagé,2011-11-01,36.4
Bagé,2011-12-01,52.8
Bagé,2012-01-01,43.6
Bagé,2012-02-01,224.0
Bagé,2012-03-01,20.4
Bagé,2012-04-01,95.8
Bagé,2012-05-01,14.4
Bagé,2012-06-01,109.8
Bagé,2012-07-01,92.0
Bagé,2012-08-01,99.4
Bagé,2012-09-01,123.2
Bagé,2012-10-01,187.20000000000002
Bagé,2012-11-01,75.4
Bagé,2012-12-01,174.0
Bagé,2013-01-01,181.79999999999998
Bagé,2013-02-01,119.8
Bagé,2013-03-01,32.2
Bagé,2013-04-01,78.6
Bagé,2013-05-01,154.4
Bagé,2013-06-01,64.4
Bagé,2013-07-01,47.4
Bagé,2013-08-01,115.6
Bagé,2013-09-01,167.8
Bagé,2013-10-01,196.4
Bagé,2013-11-01,205.6
Bagé,2013-12-01,84.8
Bagé,2014-01-01,285.0
Bagé,2014-02-01,209.6
Bagé,2014-03-01,237.20000000000002
Bagé,2014-04-01,88.0
Bagé,2014-05-01,35.0
Bagé,2014-06-01,40.4
Bagé,2014-07-01,175.0
Bagé,2014-08-01,66.6
Bagé,2014-09-01,179.2
Bagé,2014-10-01,278.0
Bagé,2014-11-01,115.8
Bagé,2014-12-01,188.0
Bagé,2015-01-01,207.4
Bagé,2015-02-01,87.8
Bagé,2015-03-01,32.4
Bagé,2015-04-01,21.2
Bagé,2015-05-01,126.2
Bagé,2015-06-01,207.20000000000002
Bagé,2015-07-01,211.4
Bagé,2015-08-01,106.8
Bagé,2015-09-01,254.4
Bagé,2015-10-01,392.4
Bagé,2015-11-01,93.4
Bagé,2015-12-01,239.79999999999998
Bagé,2016-01-01,81.60000000000001
Bagé,2016-02-01,114.2
Bagé,2016-03-01,192.8
Bagé,2016-04-01,338.0
Bagé,2016-05-01,0.0
Bagé,2016-06-01,0.0
Bagé,2016-07-01,0.0
Bagé,2016-08-01,95.0
Bagé,2016-09-01,55.0
Bagé,2016-10-01,119.2
Bagé,2016-11-01,101.2
Bagé,2016-12-01,78.8
Bagé,2017-01-01,163.4
Bagé,2017-02-01,97.6
Bagé,2017-03-01,5.0
Bagé,2017-04-01,147.8
Bagé,2017-05-01,254.6
Bagé,2017-06-01,118.8
Bagé,2017-07-01,32.6
Bagé,2017-08-01,165.4
Bagé,2017-09-01,225.0
Bagé,2017-10-01,245.20000000000002
Bagé,2017-11-01,26.8
Bagé,2017-12-01,53.4
Bagé,2018-01-01,42.8
Bagé,2018-02-01,57.4
Bagé,2018-03-01,128.8
Bagé,2018-04-01,92.4
Bagé,2018-05-01,111.0
Bagé,2018-06-01,67.8
Bagé,2018-07-01,166.6
Bagé,2018-08-01,206.6
Bagé,2018-09-01,135.4
Bagé,2018-10-01,61.800000000000004
Bagé,2018-11-01,97.4
Bagé,2018-12-01,102.2
Bagé,2019-01-01,478.0
Bagé,2019-02-01,46.8
Bagé,2019-03-01,24.8
Bagé,2019-04-01,86.4
Bagé,2019-05-01,138.0
Bagé,2019-06-01,29.8
Bagé,2019-07-01,159.6
Bagé,2019-08-01,105.2
Bagé,2019-09-01,102.0
Bagé,2019-10-01,397.4
Bagé,2019-11-01,103.2
Bagé,2019-12-01,44.6
Bagé,2020-01-01,105.8
Bagé,2020-02-01,40.2
Bagé,2020-03-01,21.4
Bagé,2020-04-01,83.0
Bagé,2020-05-01,162.6
Bagé,2020-06-01,188.0
Bagé,2020-07-01,54.2
Bagé,2020-08-01,78.0
Bagé,2020-09-01,104.6
Bagé,2020-10-01,77.6
Bagé,2020-11-01,27.0
Bagé,2020-12-01,89.6
Bagé,2021-01-01,145.4
Bagé,2021-02-01,213.6
Bagé,2021-03-01,112.4
Bagé,2021-04-01,24.8
Bagé,2021-05-01,60.2
Bagé,2021-06-01,140.6
Bagé,2021-07-01,31.400000000000002
Bagé,2021-08-01,100.0
Bagé,2021-09-01,205.0
Bagé,2021-10-01,59.2
Bagé,2021-11-01,26.4
Bagé,2021-12-01,49.0
Bagé,2022-01-01,91.2
Bagé,2022-02-01,141.4
Bagé,2022-03-01,90.4
Bagé,2022-04-01,199.8
Bagé,2022-05-01,62.0
Bagé,2022-06-01,86.4
Bagé,2022-07-01,189.2
Bagé,2022-08-01,163.6
Bagé,2022-09-01,69.4
Bagé,2022-10-01,139.0
Bagé,2022-11-01,45.0
Bagé,2022-12-01,59.2
Rio Grande,2007-01-01,28.6
Rio Grande,2007-02-01,84.8
Rio Grande,2007-03-01,130.8
Rio Grande,2007-04-01,135.4
Rio Grande,2007-05-01,103.6
Rio Grande,2007-06-01,261.59999999999997
Rio Grande,2007-07-01,105.4
Rio Grande,2007-08-01,202.2
Rio Grande,2007-09-01,119.4
Rio Grande,2007-10-01,112.0
Rio Grande,2007-11-01,38.4
Rio Grande,2007-12-01,55.2
Rio Grande,2008-01-01,0.2
Rio Grande,2008-02-01,0.0
Rio Grande,2008-03-01,19.2
Rio Grande,2008-04-01,30.0
Rio Grande,2008-05-01,167.2
Rio Grande,2008-06-01,61.4
Rio Grande,2008-07-01,89.6
Rio Grande,2008-08-01,238.8
Rio Grande,2008-09-01,118.2
Rio Grande,2008-10-01,32.2
Rio Grande,2008-11-01,34.8
Rio Grande,2008-12-01,31.8
Rio Grande,2009-01-01,102.0
Rio Grande,2009-02-01,205.4
Rio Grande,2009-03-01,103.2
Rio Grande,2009-04-01,33.4
Rio Grande,2009-05-01,71.2
Rio Grande,2009-06-01,116.6
Rio Grande,2009-07-01,32.4
Rio Grande,2009-08-01,134.6
Rio Grande,2009-09-01,0.6000000000000001
Rio Grande,2009-10-01,0.0
Rio Grande,2009-11-01,158.6
Rio Grande,2009-12-01,91.2
Rio Grande,2010-01-01,3.4000000000000004
Rio Grande,2010-02-01,258.0
Rio Grande,2010-03-01,32.0
Rio Grande,2010-04-01,102.2
Rio Grande,2010-05-01,163.2
Rio Grande,2010-06-01,87.0
Rio Grande,2010-07-01,215.2
Rio Grande,2010-08-01,11.8
Rio Grande,2010-09-01,27.8
Rio Grande,2010-10-01,10.6
Rio Grande,2010-11-01,38.6
Rio Grande,2010-12-01,41.4
Rio Grande,2011-01-01,35.6
Rio Grande,2011-02-01,133.2
Rio Grande,2011-03-01,281.4
Rio Grande,2011-04-01,98.0
Rio Grande,2011-05-01,146.2
Rio Grande,2011-06-01,126.6
Rio Grande,2011-07-01,41.8
Rio Grande,2011-08-01,147.2
Rio Grande,2011-09-01,62.6
Rio Grande,2011-10-01,63.4
Rio Grande,2011-11-01,52.0
Rio Grande,2011-12-01,53.0
Rio Grande,2012-01-01,28.0
Rio Grande,2012-02-01,124.8
Rio Grande,2012-03-01,85.80000000000001
Rio Grande,2012-04-01,84.6
Rio Grande,2012-05-01,11.6
Rio Grande,2012-06-01,81.2
Rio Grande,2012-07-01,117.6
Rio Grande,2012-08-01,110.8
Rio Grande,2012-09-01,132.2
Rio Grande,2012-10-01,36.8
Rio Grande,2012-11-01,36.0
Rio Grande,2012-12-01,138.2
Rio Grande,2013-01-01,78.8
Rio Grande,2013-02-01,194.8
Rio Grande,2013-03-01,31.2
Rio Grande,2013-04-01,149.4
Rio Grande,2013-05-01,89.39999999999999
Rio Grande,2013-06-01,128.4
Rio Grande,2013-07-01,73.4
Rio Grande,2013-08-01,112.4
Rio Grande,2013-09-01,120.8
Rio Grande,2013-10-01,119.2
Rio Grande,2013-11-01,148.2
Rio Grande,2013-12-01,70.4
Rio Grande,2014-01-01,201.4
Rio Grande,2014-02-01,170.4
Rio Grande,2014-03-01,168.4
Rio Grande,2014-04-01,55.4
Rio Grande,2014-05-01,36.4
Rio Grande,2014-06-01,149.0
Rio Grande,2014-07-01,200.2
Rio Grande,2014-08-01,58.8
Rio Grande,2014-09-01,109.4
Rio Grande,2014-10-01,254.4
Rio Grande,2014-11-01,71.4
Rio Grande,2014-12-01,145.0
Rio Grande,2015-01-01,186.4
Rio Grande,2015-02-01,0.7999999999999999
Rio Grande,2015-03-01,1.8
Rio Grande,2015-04-01,4.8
Rio Grande,2015-05-01,126.8
Rio Grande,2015-06-01,122.8
Rio Grande,2015-07-01,148.0
Rio Grande,2015-08-01,62.2
Rio Grande,2015-09-01,278.8
Rio Grande,2015-10-01,203.8
Rio Grande,2015-11-01,124.2
Rio Grande,2015-12-01,136.6
Rio Grande,2016-01-01,66.0
Rio Grande,2016-02-01,151.0
Rio Grande,2016-03-01,189.8
Rio Grande,2016-04-01,188.6
Rio Grande,2016-05-01,0.6000000000000001
Rio Grande,2016-06-01,0.0
Rio Grande,2016-07-01,30.6
Rio Grande,2016-08-01,121.6
Rio Grande,2016-09-01,87.6
Rio Grande,2016-10-01,76.8
Rio Grande,2016-11-01,105.39999999999999
Rio Grande,2016-12-01,82.0
Rio Grande,2017-01-01,61.8
Rio Grande,2017-02-01,74.8
Rio Grande,2017-03-01,169.2
Rio Grande,2017-04-01,93.4
Rio Grande,2017-05-01,175.79999999999998
Rio Grande,2017-06-01,35.6
Rio Grande,2017-07-01,31.200000000000003
Rio Grande,2017-08-01,0.0
Rio Grande,2017-09-01,27.4
